Week,30 yr FRM,Year
12/6/1985,11.50,1985
12/13/1985,11.31,1985
12/20/1985,11.14,1985
12/27/1985,11.09,1985
1/3/1986,10.81,1986
1/10/1986,10.77,1986
1/17/1986,10.99,1986
1/24/1986,10.97,1986
1/31/1986,10.89,1986
2/7/1986,10.85,1986
2/14/1986,10.80,1986
2/21/1986,10.68,1986
2/28/1986,10.51,1986
3/7/1986,10.20,1986
3/14/1986,10.01,1986
3/21/1986,10.01,1986
3/28/1986,10.10,1986
4/4/1986,9.99,1986
4/11/1986,9.98,1986
4/18/1986,9.92,1986
4/25/1986,9.86,1986
5/2/1986,9.90,1986
5/9/1986,10.00,1986
5/16/1986,10.08,1986
5/23/1986,10.36,1986
5/30/1986,10.38,1986
6/6/1986,10.74,1986
6/13/1986,10.76,1986
6/20/1986,10.61,1986
6/27/1986,10.62,1986
7/4/1986,10.61,1986
7/11/1986,10.59,1986
7/18/1986,10.43,1986
7/25/1986,10.40,1986
8/1/1986,10.40,1986
8/8/1986,10.40,1986
8/15/1986,10.23,1986
8/22/1986,10.04,1986
8/29/1986,9.93,1986
9/5/1986,9.90,1986
9/12/1986,9.96,1986
9/19/1986,10.07,1986
9/26/1986,10.10,1986
10/3/1986,10.08,1986
10/10/1986,9.99,1986
10/17/1986,9.96,1986
10/24/1986,9.95,1986
10/31/1986,9.89,1986
11/7/1986,9.83,1986
11/14/1986,9.81,1986
11/21/1986,9.64,1986
11/28/1986,9.50,1986
12/5/1986,9.30,1986
12/12/1986,9.35,1986
12/19/1986,9.30,1986
12/26/1986,9.29,1986
1/2/1987,9.37,1987
1/9/1987,9.32,1987
1/16/1987,9.21,1987
1/23/1987,9.04,1987
1/30/1987,9.08,1987
2/6/1987,9.06,1987
2/13/1987,9.09,1987
2/20/1987,9.11,1987
2/27/1987,9.07,1987
3/6/1987,9.03,1987
3/13/1987,9.05,1987
3/20/1987,9.03,1987
3/27/1987,9.03,1987
4/3/1987,9.26,1987
4/10/1987,9.43,1987
4/17/1987,10.27,1987
4/24/1987,10.37,1987
5/1/1987,10.47,1987
5/8/1987,10.52,1987
